,text_lb,text
75,1.0,Thích cách phục vụ nhiệt tình của nhân viên
79,1.0,"Địa điểm rất tốt, Vị trí khách sạn ở trung tâm. Phòng ở thoải mái. Nhân viên cực kỳ thân thiện, lịch sự, sẵn sàng tư vấn địa điểm ăn uống cho khách. Giá cả hợp lý. Good"
82,1.0,Sạch sẽ
83,1.0,"Khách sạn có một khoảng sân trống ở giữa để xây hồ bơi lớn, rất phù hợp với nhóm có trẻ em và người lớn đi chung. Nhân viên rất nhiệt tình và hiếu khách, giúp mình mang hành lý lên phòng. Phòng rất nhỏ nhắn, sạch sẽ, view thẳng ra cánh đồng nên cảm giác rất mát mẻ. Giá cả phải chăng, dịch vụ ổn. Thích hợp làm nơi nghỉ dưỡng thời gian ngắn."
84,1.0,"Pěkný pokoj, nový, čistý, mám rád dekorativní barvy zde. Zvláště velmi pěkný výhled. Pěkný a přátelský personál. Snídaně je pestrá a velmi chutná."
89,1.0,"Dịch vụ rất OK, nhân viên tư vấn và hỗ trợ khách nhiệt tình, giá lại vừa túi tiền nên mình đã book thẳng tour với khách sạn nên được up thẳng lên phòng private. Phòng nhỏ nhỏ, đẹp, có cửa sổ lớn đón sáng view núi, phòng vs riêng sạch sẽ. Bữa sáng ngon, trang trí đẹp."
93,1.0,"Địa điểm quá thích hợp để ngắm cảnh, giường sạch sẽ thơm tho. Mình đến sớm và các bạn nhân viên khá nhiệt tình giúp mình thu xếp để check-in sớm mà ko hề có phụ phí gì cả, ngoài ra thì bữa sáng tại hostel khá ngon."
94,1.0,"Cách phố cổ cỡ 2km, được cái khung cảnh xung quanh khá đẹp và yên bình, thích hợp nghỉ dưỡng. Tổng quan khách sạn thiết kế đẹp, ở giữa có hồ bơi nên toàn bộ các phòng đều có ban công, quan trọng là view ntn thôi. So với dịch vụ thì hoàn toàn xứng đáng với số tiền mình bỏ ra. Sẽ còn quay lại."
95,1.0,"Khách sạn lớn , rộng thoải mái, view đep
Xung quanh tiện lợi đi lại, nên rất ok nhé"
98,1.0,"Il prezzo è così economico Splendido hotel con piscina interna. Bella camera, ben progettata, letto comodo, vista tranquilla sulla risaia dal balcone. Varietà di cibo da scegliere per la colazione ed è così delizioso."
99,1.0,"Rất tuyệt, mọi thứ ngoài sự mong đợi ah
Mình ở huế 1 đêm nên chưa tham quan được nhiều
Khách sạn Sunriver mình book rộng , phòng ốc thoải mái lắm 
Hy vọng ghe lại lần sau"
100,1.0,"Rất thân thiện, tôi sẽ quay trở lại vào dịp nghỉ lần sau."
101,1.0,Khi đến nơi này thì điều đầu tiên làm tôi thấy hài lòng là anh nhân viên rất nhiệt tình và chu đáo . Hiện tại thì phòng ốc sạch sẽ gọn gàng đẹp đẽ tuy nhiên không biết do phòng của mình hay sao nhưng wiffi rất chậm mình phải sử dụng 3G nhưng cũng không sao .Mình book phòng gần 500k 1 đêm không có bữa sáng :((  cũng hơi buồn . Nhưng tại vì nhân viên ở đây rất OK nên cũng không sao luôn  Nhìn chung khá tốt  . Mọi người nên chọn nơi này làm điểm đến khi có dịp đi du lịch hoặc nghĩ dưỡng ở Hội An .
102,1.0,"Đồ ăn vừa miệng, chủ nhà thân thiện"
107,1.0,View rất đẹp cả sáng lẫn tối
108,1.0,Gần song hương
109,1.0,ăn sáng
110,1.0,"Tiện nghi và phòng khách sạn rất mới và sạch sẽ. Nhân viên nhiệt tình và chu đáo.
Mình đặt phòng view thành phố và được khách sạn nâng cấp lên hạng phòng view biển miễn phí
Buffet sáng ăn ngon và phong phú
Lần sau ra Nha Trang chắc chắn tôi vẫn sẽ chọn Le More"
111,1.0,"Bữa sáng ngon đủ dinh dưỡng, trang trí đẹp mắt. Sảnh ăn có view trên cao hướng thẳng ra quả núi rất to (quên mất tên). Phòng sạch, nhân viên ổn. Đa dịch vụ. Giá tốt"
115,1.0,"Nhân viên thì khá nice, chú chó cũng rất xinh"
117,1.0,"Phòng mình trên tầng 6, view rất đẹp, tôi thích thật sự khi ở nơi này. Bữa ăn sáng phù hợp và trang trí đẹp mắt, có thịt xay để kẹp với bánh mỳ, vừa ăn vừa ngắm cảnh rất thích, đặc biệt là có món tráng miệng miễn phí. Địa điểm rất đẹp. Ông bà chủ nhiệt tình, vui tính, thân thiện."
118,1.0,"Khách sạn đẹp, có hồ bơi. Mọi người đều dễ thương, cảnh sắc yên bình, thích hợp nghỉ dưỡng."
121,1.0,"Một chuyến đi nhiều kỉ niệm đẹp, view tầng 6 cũng đẹp nữa."
122,1.0,"Chủ nhà dễ mên, khách sạn hợp kiểu du lịch trải nghiêm gặp gỡ bạn bè mới. Phòng mình có tổng cộng 4 bạn, trước lạ sau quen, cuối cùng lại thành bạn. Buổi sáng, vừa ăn sáng vừa ngắm bình minh thì tuyệt vời, nhưng bạn phải dậy thật sớm mới đc."
125,1.0,"Từ chỗ nghỉ đi bộ thoải mái tới những địa điểm chụp ảnh, check in 2h nhưng đến sớm 2 tiếng vẫn ok"
126,1.0,"Phòng sạch sẽ, trang trí đẹp. Có thang máy lên tận cửa. Wf mạnh"
134,1.0,"Phòng sạch sẽ, tiện đi lại tất cả mọi nơi.  Vị trí ks thuận lợi gần quán ăn, dịch vụ, đi tham quan Huế cũng dễ dàng. Nói chung là hài lòng"
135,1.0,"Phòng ốc sạch sẽ, tiện nghi cơ bản, có không gian sinh hoạt chung. Buổi sáng lên lầu 6 ngắm cảnh rất chi là đẹp :)))
Mình có mua tour ở đây và hoàn toàn hài lòng với chất lượng dịch vụ, các bạn nhân viên tận tình, dễ thương."
137,1.0,"Thực sự rất thích khách sạn.
Vị trí thuận tiên
phòng sạch đẹp
nhân viên thân thiên
Nếu quay lại Huế tôi vẫn sẽ ở khách sạn này"
138,1.0,"Phòng đẹp, view đẹp, tất cả đều tốt"
142,1.0,"I really like staying here, I booked for one night but choose to stay for the whole week, quiet, peaceful, near river, and rice field. Staff are always smiling when they saw you, room service is superb. You should check out this place."
149,1.0,"Phòng private có view núi khá đẹp, anh chủ nhiệt tình, nhân viên dễ thương hay chào hỏi khách. Hai đứa mình có thuê xe để đi loanh quanh ngắm cảnh, giá theo mình là rẻ và xe chạy rất tốt , ko có bị trục trặc gì. Đặc biệt thích sảnh ăn view núi ở đây, đồ ăn ngon mà lại rẻ nữa. Sẽ quay lại nhiều lần nữa."
150,1.0,"Phòng đẹp, tiện ích cơ bản đều có đầy đủ, nệm khá thoải mái và sạch. Toilet chung nhưng ko bị hôi. Sảnh ăn với view núi, bữa sáng nhẹ nhưng đủ chất, cũng ngon."
151,1.0,"Địa điểm ngoài rìa trung tâm thành phố, khá yên tĩnh giữa đồng quê thiên nhiên, view khá mát mắt. Phòng đẹp, vệ sinh tốt, toilet ko có mùi hôi, thoáng khí. Có hồ bơi, phục vụ món ăn, thích hợp cho nghỉ dưỡng. Giá cực tốt."
155,1.0,view đẹp
157,1.0,"We rented one day here, although the location is not in the center but it is quite close to some places we want to go, so that's why we chose this hotel. On the evenings can go down to the swimming pool to take a good dive. Good service but very cheap price."
158,1.0,sạch sẽ
160,1.0,😃
161,1.0,Nhân viên nhiệt tình
164,1.0,"Bọn mình thuê 1 ngày ở đây, vị trí mặc dù ko ở trung tâm nhưng cũng khá gần một số chỗ mình muốn đi, nên đó cũng là lí do chính bọn mình chọn khách sạn này. View sông nên rất mát mẻ, phòng nhiều ánh sáng nên cảm giác rộng rãi, buổi tối buồn buồn có thể xuống hồ bơi tắm. Dịch vụ tốt mà giá lại rất rẻ."
166,1.0,"Phòng 6 giường thích hợp cho nhóm đi du lịch chung, khá vui. Giá cả hợp lý, phòng ốc sạch sẽ, nệm nằm rất thoải mái. Thuê xe và ko có cái nào bị trục trặc cả. Dịch vụ ổn, sẽ quay lại lần sau để đi tour nữa."
168,1.0,"Giá quá rẻ, vị trí mặc dù không phải trung tâm nhưng cảnh sắc xung quanh khá yên bình. Khách sạn xinh xinh, giữa có cái hồ bơi. Phòng đẹp, giường rộng rãi thoải mái. Bữa sáng khá đa dạng và ngon nữa."
170,1.0,"This is the place where you relax and enjoy the view. Nice room, quiet neighborhood, wonderful staff, and they serve breakfast every morning. Price is really cheap."
171,1.0,"Kỳ nghỉ tuyệt vời, Hà Giang lúc nào cũng đẹp, cảm ơn."
172,1.0,"Nhân viên nhiệt tình
vị trí thuận lợi"
174,1.0,"Không khí và cảnh quá rất phù hợp để nghỉ dưỡng. Đồ ăn của người dân tộc do bác chủ nhà nấu ăn cũng rất đặc sắc. Rất phù hợp để 2 vợ chồng nghỉ ngơi, tận hưởng vài ngày."
177,1.0,"Phòng tập thể không gian rộng rãi, sạch sẽ. Giá tạm được, đc cái dịch vụ khá ổn."
178,1.0,"Đầu tiên là nhân viên ở đây rất nhiệt tình và chu đáo, cảm giác thân thiện như người nhà vậy. Tiếp đó thì phòng ốc sạch sẽ gọn gàng, mọi thứ đều còn khá mới. Cuối cùng là giá cả cực kì ưu đãi. Mọi người nên chọn nơi này làm điểm đến khi có dịp đi du lịch hoặc nghĩ dưỡng ở Hội An, bạn sẽ không thất vọng đâu."
181,1.0,"Khách sạn bố trí cho tôi phòng trên tầng 6, view rất đẹp, tôi thích thật sự khi ở nơi này. Phong cảnh hữu tình, bữa ăn sáng phù hợp và trang trí đẹp mắt. Từ chủ cho đến nhân viên đều nhiệt tình. Quá tuyệt vời."
182,1.0,"Chủ nhà thân thiện, nấu ăn ngon,  vị trí thuận lợi."
183,1.0,"Sạch sẽ, gần trung tâm, nhân viên thân thiện"
184,1.0,"Nhân viên rất thân thiện, nhiệt tình. Vị trí trung tâm thành phố, tiện đi các chợ, hàng quán. Buffet sáng có mấy món bún ngon."
187,1.0,"Gần phố đi bộ , trung tâm"
188,1.0,"Phòng đẹp, mới, sạch sẽ, mình ưa tông màu decor ở đây. Đặc biệt view rất mát mắt.

Staff dễ thương, thân thiện. Đồ ăn sáng đa dạng và khá ngon.

Sẽ quay lại lần nữa để tận hưởng sự thanh bình của Hội An."
190,1.0,"Một trải nghiệm tuyệt vời tại hồ Ba Bể, homestay rất ổn , chủ nhà mến khách , thân thiện , nấu ăn ngon , phòng đẹp , view ban công nhìn thấy hồ Ba bể rất đẹp , chúng tôi sẽ lại quay lại ! "
196,1.0,Nội thất đúng kiểu mình thích 😆😆
197,1.0,địa điểm trung tâm
198,1.0,"Phòng nghỉ sạch, đẹp, thoải mái. Cô chủ thân thiện, nhiệt tình, nấu ăn rất ngon. Giá cả hợp lý, phù hợp cho gia đình, nhóm dưới 20 người"
201,1.0,"Hotel was newly built, so the room is very new. Each item is neat, meticulous and sophisticated to each individual item. Comfortable bed and super clean room. There is a swimming pool and can organize a barbecue where the view of my room towards the rice field make me feel the closeness, simplicity and tranquility of Hoi An.

Especially the staff here is so friendly, honest and enthusiastic, make me feel like when I'm at home. Fortunately, the receptionist gave instructions for good and cheap places to eat. Really satisfied with the quality of service here."
202,1.0,"Dịch vụ tuyệt vời, giường nằm êm dễ ngủ, yên tĩnh ko ồn ào, toilet rộng rãi vệ sinh khá tốt nên ko bị hôi mặc dù sử dụng chung. Đồ ăn ngon, trang trí đẹp, có tráng miệng trái cây, vừa ăn vừa nằm ngắm view núi. Giá phòng theo mình là rẻ, giá thuê xe cũng rẻ, xe mới nhiều lựa chọn. Nói chung là khá hài lòng."
205,1.0,"Nhân viên siêu dễ thương và chịu khó chăm khách, làm cho mình có cảm giác rất gần gũi. Có cái hồ bơi nho nhỏ, với khoảng sân rộng khá thích hợp để làm party, nghỉ dưỡng. Phòng thiết kế ổn, toilet sạch sẽ, có ban công view ruộng lúa. 

Rất hài lòng với dịch vụ ở đây, lần sau nếu đi nghỉ dưỡng nhất định sẽ quay lại chỗ này vì khá yên tĩnh và dịch vụ ổn."
207,1.0,"Khách sạn ngay trung tâm thuận tiện đi lại, nhân viên nhiệt tình. Mình tới vào buổi sáng nhưng vẫn được sắp xếp cho nhận phòng sớm."
210,1.0,Gần trung tâm
214,1.0,tuyệt vời
215,1.0,"Vị trí đẹp gần trạm xe. FO thân thiện và khéo léo. Phòng gồm 6 giường với tiện nghi cơ bản, ko có TV. Phòng tắm chung sạch sẽ. Sảnh ăn sáng với view, đồ ăn ngon."
216,1.0,"The location is great to prepare for the tour. Quiet, clean and nice room, there is always a motorbike rental service so I decided to rented a motorbike for 2 people to Dong Van, motorbike is in good condition and their tour operator is enthusiastic."
219,1.0,직원과 호스트는 매우 친절하고 친절합니다. 모든 것이 정상입니다. 특히 산의 멋진 전망을 감상 할 수있는 옥상이 있습니다. 매우 합리적인 가격으로 일일 투어 및 오토바이 대여를 포함한 추가 서비스. 시간이 더 있었으면 좋겠어요. 다음에 봐요.
223,1.0,ok
227,1.0,"bữa sáng tạm ổn, vị trí trung tâm thuận tiện khám phá phố phường"
229,1.0,"Phòng rộng, yên tĩnh tuyệt đối. View đẹp, không gian thoáng đãng."
230,1.0,I love the rooms. And the staff is very friendly
233,1.0,Vị trí năm ngày trung tâm rất thuận tiện cho việc đi lại. Phòng ốc sạch đẹp thoáng mát. Nhân viên rất nhiệt tình.
238,1.0,"From top to bottom it was a really joy ride. I book their tour and staying at their hostel before and after the tour. Room is nice, clean, and well-equipped. It was a 4 days 3 nights tour that I will never forget. Really really helpful staff, bring me the great service that I could ever have."
240,1.0,"Khách sạn gần trung tâm thành phố, việc đi lại cũng thuận tiện dễ dàng.
Đang trong giai đoạn có dịch bùng phát trên cả nước nên tôi rất chú trọng đến khâu đảm bảo an toàn và vệ sinh trong khách sạn. Về khoản này tôi rất yên tâm và hài lòng, cũng cảm ơn khách sạn đã đảm bảo cho tôi và các khách khác.
Nhân viên nhiệt tình và vui vẻ, hòa nhã.
Hẹn khách sạn vào những dịp du lịch, tôi sẽ ghé lại."
242,1.0,"After one night at the dorm, on the second day I booked their 4D3N tour. It was a wonderful experience from top to bottom, and I'll let you decide it by yourself. About the bed in the dorm: the bed in the dorm is a bit hard but still comfortable enough, room is clean and tidy, everybody in the same room with me is lovely, we talk a lot and that's the reason why I decided to book the tour on the second day. About the private room: really nice little room, bed is comfortable, you'll have your own private bathroom en-suite, window with a really fantastic view over the mountain. 

Staff was lovely and very helpful, tour guid is knowledgeable and speak good English.

Price is hard to beat with excellent services."
243,1.0,"1 khách sạn quá tuyệt vời khi tôi đặt chân tới Tam Đảo, từ vị trí, phòng ở đến nhân viên phục vụ. 
Tôi sẽ giới thiệu bạn bè đến ở Chân Mây ☺️"
244,1.0,Giường sạch sẽ và ngăn nắp. Giá cả theo mình thì cũng tạm được. Nhân viên thân thiện và hỗ trợ đủ loại dịch vụ tour nếu bạn cần.
247,1.0,"Địa điểm thuận lợi, gần quảng trường, chủ khách sạn và nhân viên thân thiện"
248,1.0,Giá cả hợp lý và ở gần trung tâm đặt biệt là chủ vila nói chuyện rất thú vị và tôi rất thích 
249,1.0,"Có bãi đỗ xe, "
250,1.0,"Trang thiết bị xuống cấp. Hiện tại an sáng chỉ gọi món chứ không có buffet. Phòng sạch sẽ, giường êm. Nhân viên thân thiện, lịch sự. Máy lạnh không lạnh lắm."
251,1.0,"Vui vẻ, nhiệt tình và sạch sẽ"
252,1.0,Một nơi tuyệt vời gần hồ Tuyền Lâm để thư giãn
253,1.0,Thái độ nam lễ tân phục vụ không niềm nở.
254,1.0,"Phòng rộng rãi, sạch sẽ, thoáng mát, đầy đủ tiện nghi. Cô chủ rất nhiệt tình, còn cho nhà mình quả mít cây nhà lá vườn. Sẽ giới thiệu cho bạn bè, người thân."
255,-1.0,"Mọi thứ ok, trừ việc dọn phòng thái độ lồi lõm bất lịch sự với khách."
256,1.0,"Bi 1 phòng co mùi trong toilet dù đã được vệ sinh sạch, khách sạn co hỗ trợ đót tinh dầu, hom sau thì đề nghị đổi phòng khác nhưng hôm sau nữa mình về rồi nên không đổi nữa. Còn lai khách sạn cũng ok."
257,1.0,"Phòng ốc sạch sẽ, nhân viên và lễ tân rất nhiệt tình, chỉ mỗi bữa sáng thì hơi thất vọng so với khách sạn 5 sao, đồ ăn không đa dạng"
258,1.0,"Phòng bình thường, phục vụ nhiệt tình"
260,1.0,"Phòng sạch sẽ, nhân viên nhiệt tình - dễ thươngg"
261,1.0,"Khách sạn hơi khó tìm đường nhưng bù lại phòng mình lại khá đẹp, nhân viên nhiệt tình, ăn sáng ngon, mình nhận phòng muộn và chỉ ở 1 đêm sáng sớm ăn sáng xong rồi đi luôn, nói chung khá hài lòng. Lúc mình ở tưởng chừng như ở tây luôn á chẳng có khách người việt nào ngoài nhà mình :))"
262,1.0,Khu nghĩ dưỡng tuyệt vời nhưng sẽ không quay lại vì nằm giữa lõi rừng quốc gia ba vì
263,1.0,Giá phòng đặc trên app thì hoàn hảo. Nhưng khi nhận phòng thì không đúng. Tôi rất bực mình. Phòng còn không có tủ lạnh. Không có bồn tắm như quãng cáo. Tôi rất thất vọng lần thứ 2 ở trên online... gọi điện thoại cho công ty thì không ai tiếp máy...
264,1.0,"Khách sạn tốt, dich vụ ổn , sạch"
265,1.0,"Nhân viên nhiệt tình, phòng ốc đẹp và sạch sẽ. Vị trí thuận tiện ngay cầu Sông Hàn."
266,1.0,"Không gian rất dễ chịu, phục vụ dễ thương!"
267,1.0,Phòng hơi nhỏ nhưng yên tĩnh. Mình ở 2 đêm có lên làm phòng cho đêm tiếp theo nhưng làm không sạch chỉ qua loa. Nhân viên không được thân thiện nhiệt tình cho lắm.
268,-1.0,tới check in mới dọn phòng không sạch sẽ
269,1.0,"Khách sạn sạch sẽ, nhân viên nhiệt tình, mình đến Quy Nhơn mới 10h sáng mà khách sạn đã cho check in luôn, nếu có dịp sẽ quay lại"
270,1.0,"Khách sạn rất là đẹp, vào phòng cảm giác rất dễ chịu, nằm trên giường là phóng tầm mắt ra biển đẹp cực luôn, bể bơi nhỏ nhg đủ các góc để chụp choẹt. Ăn sáng không đặc sắc lắm"
271,1.0,"nơi tốt, gần trung tâm thành phố, dịch vụ tuyệt vời"
272,1.0,Đây là khách sạn đáng cân nhắc nhất khi bạn đến Vũng Tàu.
273,1.0,"Bất ngờ là kháchsạn rất lịch sự, 3* nhưng phòg rất rẻ, sạch sẽ, lễ tân nhiệt tình chu đáo"
274,1.0,"Phòng sạch sẽ, bé lễ tân thì dễ thương, luôn hỗ trợ mình mọi thứ. Nếu có quy lại Gia Lai chắc chắn mình sẽ quay lại"
275,1.0,"Họ cực kì quan trọng cái phiếu ăn sáng (tiếp tân quên đưa mình). Để khách đoàn hát loa kéo đến 10pm. Đồ ăn sáng, thái độ phục vụ thiếu lịch sự. 3 đêm!"
276,1.0,"Nhân viên trả lời điện thoại không tôn trọng khách, nhận phòng cũng không chuyên nghiệp"
277,1.0,"Phòng sạch sẽ, dịch vụ tuyệt vời, bữa sáng tốt."
278,1.0,"Thật uổng tiền khi đặt, wifi tệ, sàn nhà bẩn và hồ bơi quá dơ bẩn, toàn rêu, ăn sáng ngèo nàn. Sẽ không bao giờ quay lại và không giới thiệu cho ai khác."
279,1.0,Nhân viên rất nhiệt tình. Phòng sạch đẹp và rộng rãi. Tôi sẽ quay lại đây tiếp
280,1.0,"Hài lòng Phòng so so đẹp nếu bạn là người thích ánh sáng thì đây là lựa chọn good Phòng mình chọn là Studio Spa Ocean, giá so với mặt bằng chung 4 sao thì khá rẻ trong thời điểm du lịch hè"
281,1.0,"Vị trí rất tuyệt và căn phòng yên tĩnh, sạch sẽ và thoải mái. Nhưng các nhân viên là những gì thực sự làm cho khách sạn này tuyệt vời. Dịch vụ xuất sắc bắt đầu một ngày trước khi chúng tôi đăng ký. Người quản lý đã gửi cho tôi một email để xác nhận đặt chỗ của tôi và sắp xếp xe tại sân bay. Bàn tiếp tân đã cho tôi rất nhiều thông tin về thành phố cũng như giúp tôi sắp xếp các chuyến đi đến vịnh Hạ Long và Ninh Bình. Tôi đã có một thời gian đáng nhớ trong các chuyến đi và tại khách sạn này. Tôi sẽ quay lại khách sạn này vào lần tới"
282,1.0,"Phòng so với giá thì quá rẻ khi đi mùa du lịch. Book qua app khi đến nhận phòng mới biết chưa được khách sạn note nhưng cũng may là còn phòng & bù lại chị lễ tân vui vẻ, nhiệt tình. Phòng cách âm không tốt, ở 3 ngày thì sáng nào khoảng 6g30 là lại bị đánh thức vì quá ồn. Muốn nướng 1 ngày cũng không được 😢"
284,1.0,"Phòng đúng như mô tả, nhân viên thân thiện, nhiệt tình."
285,1.0,"Phòng như hình. Mình đã ở đây lần thứ 3, chị chủ thân thiện. Có chút thiếu sót là chắc chị chủ ít check app nên sót đơn mình. Bù lại chị đã cho mình phòng đôi. Tha hồ = ))))"
286,-1.0,Phòng cũ và bẩn không giống như trên ảnh. Phản ánh với nhân viên không được phản hồi. Hệ thống thoát nước của nhà vệ sinh kém. Khách sạn không dọn phòng trừ khi được yêu cầu. Không gọi được cho nhân viên buồng phòng và yêu cầu cung cấp đồ dùng cá nhân thì nhân viên nói đến lễ tân lấy thay vi cung cấp đến phòng cho khách. Quá tệ cho phòng villa ở khách sạn 3 sao.
287,1.0,"Trường học rất tốt, gần thành phố. Đồ ăn ngon, phòng sạch sẽ, tôi thích nó."
288,1.0,"Chàng trai lễ tân rất tốt bụng và giúp tôi sắp xếp xe để trở về hà nội, đồ ăn rất ngon trong quán cà phê thằn lằn xuống cầu thang ở sảnh. Phòng rất lớn và sạch sẽ. Tôi chắc chắn sẽ ở lại đây nếu tôi quay trở lại sapa, tôi rất khuyến khích khách sạn này"
289,1.0,Em trai lễ tân dễ mến lịch sự
290,1.0,"Khách sạn tuy nhỏ nhưng đầy đủ tiện nghi, ❤️"
291,1.0,Sạch - đẹp. Chị chủ siêu yêu 🥰
292,1.0,"Khách sạn ngay khu phố Tây tại trung tâm Thành Phố. Thuận tiện cho đi khắp nơi tại Huế. Phòng hơi cũ và nhỏ, được cái có hồ bơi phía sau. Thuê xe máy nên hỏi rõ thông tin để không để bị tính thêm tiền như mình"
293,1.0,"Khách sạn view biển quá đẹp, phòng rộng rãi sạch sẽ, nhân viên thân thiện nhiệt tình."
